,online_order,book_table,rate,votes,location,rest_type,cuisines,cost,menu_item
210,0,1,3.6,172,7,0,38,700.0,0
211,0,1,3.6,105,0,0,123,700.0,0
212,0,1,4.2,504,0,4,9,550.0,0
213,0,1,3.2,36,4,2,74,200.0,0
214,0,1,3.1,39,4,2,5,300.0,0
215,0,1,3.1,5,4,0,103,500.0,0
217,0,0,4.3,1129,3,0,124,1300.0,0
218,0,1,3.9,56,4,2,38,350.0,0
219,0,1,4.3,860,0,9,125,500.0,0
220,0,1,3.8,412,3,0,126,700.0,0
221,0,0,3.9,142,3,0,127,1000.0,0
222,0,1,3.0,23,3,2,128,400.0,0
223,0,1,3.6,143,3,0,129,750.0,0
224,0,0,2.8,80,3,0,130,500.0,0
225,0,1,3.6,16,8,0,33,400.0,0
226,0,1,4.4,181,3,15,131,250.0,0
227,0,1,3.8,70,3,2,132,200.0,0
228,0,1,3.8,164,1,2,133,600.0,0
229,0,1,3.6,58,4,2,134,650.0,0
230,1,1,3.8,148,1,3,23,550.0,0
231,1,1,3.9,206,1,2,135,450.0,0
234,1,1,3.6,16,2,2,33,300.0,0
235,1,1,3.7,217,1,0,136,450.0,0
236,1,1,3.6,46,1,2,137,450.0,0
237,1,1,3.8,148,1,2,74,150.0,0
238,1,1,3.4,30,1,9,69,250.0,0
239,1,1,3.6,8,2,0,6,800.0,0
240,1,1,3.3,4,3,2,33,250.0,0
241,1,1,3.5,15,1,19,54,400.0,0
245,0,1,3.4,9,7,2,104,200.0,0
247,0,1,3.7,31,2,2,3,300.0,25
248,0,1,2.9,177,3,0,138,700.0,0
249,0,1,3.7,22,1,16,139,250.0,0
250,0,1,3.5,10,4,15,140,100.0,26
251,0,1,3.7,136,0,2,141,600.0,0
252,0,1,2.9,35,4,2,38,250.0,0
253,0,1,4.1,185,3,2,142,200.0,0
254,0,1,3.2,17,3,4,18,900.0,0
255,0,1,3.8,155,2,0,80,400.0,0
256,0,1,3.8,42,0,2,71,300.0,27
257,0,1,3.8,286,1,0,5,600.0,0
258,0,1,3.8,160,0,0,38,700.0,0
259,0,1,3.8,59,0,0,38,750.0,0
260,0,1,3.5,90,3,0,143,500.0,0
261,0,1,3.7,51,4,2,135,350.0,0
262,0,1,4.0,89,3,2,84,200.0,0
263,0,1,3.6,18,0,2,144,250.0,0
264,0,1,3.9,40,1,0,145,600.0,0
265,0,1,2.5,35,1,2,63,200.0,0
266,0,1,3.4,89,3,2,146,250.0,0
267,0,1,3.2,11,1,2,147,150.0,0
268,0,1,3.6,62,0,5,19,600.0,0
269,0,1,3.9,33,3,9,69,300.0,0
270,0,1,3.8,32,3,16,94,250.0,0
271,0,1,4.1,139,3,0,148,550.0,0
272,0,1,3.2,154,6,2,63,300.0,0
273,0,1,3.6,14,0,12,26,350.0,0
274,0,1,3.7,237,0,2,149,200.0,28
275,0,1,3.9,388,0,0,150,650.0,0
276,0,1,0.0,0,3,2,96,300.0,29
277,0,1,3.9,128,4,0,151,500.0,30
278,0,0,4.1,1875,3,0,152,1200.0,0
279,0,1,3.8,90,0,4,10,650.0,0
280,0,1,3.1,7,4,2,153,250.0,31
281,0,1,3.7,38,7,0,3,400.0,32
282,0,1,4.2,179,0,7,27,600.0,0
283,0,1,4.0,43,1,9,125,250.0,0
284,0,1,4.3,275,1,2,33,100.0,33
285,0,1,3.7,323,3,0,31,850.0,0
286,0,1,3.1,28,7,0,71,400.0,34
287,0,1,3.9,18,1,2,154,200.0,0
288,0,1,3.3,6,1,2,34,100.0,0
290,0,1,4.3,322,3,0,33,400.0,0
291,0,1,2.6,157,3,4,155,450.0,0
292,0,1,3.9,543,1,2,149,300.0,35
293,0,1,3.7,180,0,4,17,500.0,0
294,0,1,4.2,444,1,2,33,100.0,36
295,0,1,3.9,134,3,2,156,400.0,37
296,0,1,3.8,577,3,0,157,900.0,0
297,0,1,4.2,60,0,2,80,200.0,38
298,0,1,3.9,144,3,0,146,550.0,0
299,0,1,4.1,787,0,0,1,800.0,0
300,0,1,3.6,16,1,2,33,200.0,39
301,0,1,3.6,84,0,2,71,250.0,40
302,0,1,3.6,95,0,2,158,150.0,41
303,0,0,4.0,349,0,0,159,1200.0,0
304,0,1,3.7,248,4,2,160,400.0,0
305,0,1,4.1,216,1,4,161,500.0,0
307,0,1,4.0,324,0,4,8,700.0,0
308,0,1,2.6,231,4,2,162,400.0,42
309,0,1,3.4,102,7,0,85,400.0,43
310,0,1,3.9,133,0,4,13,800.0,0
311,0,1,2.8,45,0,0,163,800.0,0
312,0,1,3.9,149,4,2,164,300.0,0
313,0,1,3.8,75,0,2,165,200.0,0
314,0,1,4.0,53,5,7,166,600.0,0
315,0,0,4.2,815,3,0,38,900.0,0
316,0,0,4.0,633,0,0,38,800.0,0
317,0,1,3.5,56,3,9,167,400.0,0
318,0,1,3.0,82,0,2,80,300.0,44
319,0,1,3.7,35,3,2,63,200.0,0
320,0,1,3.6,20,1,2,168,150.0,45
321,0,1,3.1,14,4,2,169,250.0,0
322,0,1,3.9,70,0,9,170,400.0,0
323,0,1,3.9,91,3,4,171,300.0,0
324,0,1,3.6,45,3,2,29,200.0,0
325,0,1,3.4,7,0,2,38,250.0,0
326,0,1,3.8,28,0,2,63,150.0,0
327,0,1,3.6,24,0,0,38,600.0,0
328,0,1,3.8,36,1,9,172,200.0,0
329,0,1,3.5,11,3,2,63,200.0,0
330,0,1,3.8,77,4,4,173,650.0,0
331,0,1,3.2,8,0,16,67,100.0,0
332,0,1,3.7,14,3,2,33,100.0,46
333,0,1,3.8,210,4,0,30,600.0,0
334,0,1,4.1,130,3,4,174,650.0,0
335,0,1,4.1,30,3,15,131,100.0,0
336,0,1,3.8,144,0,4,14,700.0,0
337,0,1,3.4,11,1,17,175,800.0,0
338,0,1,3.7,133,3,0,176,700.0,0
339,0,1,4.0,136,3,2,149,350.0,47
340,0,1,3.1,4,1,2,71,200.0,0
341,0,1,3.5,11,1,20,177,200.0,0
342,0,1,3.8,74,1,2,71,300.0,0
343,0,1,3.7,30,1,2,178,300.0,0
344,0,1,3.0,7,1,2,179,200.0,0
345,0,1,3.8,75,0,6,21,200.0,48
346,0,1,3.7,54,1,4,95,600.0,0
347,0,1,3.6,23,1,21,180,100.0,0
348,0,1,3.2,119,0,0,38,400.0,0
349,0,1,3.7,73,0,2,47,400.0,0
350,0,1,3.4,58,1,4,18,400.0,0
351,0,1,3.6,129,0,0,181,600.0,0
352,0,1,3.6,24,0,2,182,250.0,0
353,0,1,3.0,175,4,2,79,400.0,0
354,0,1,3.7,21,2,2,33,300.0,0
355,0,1,3.5,41,9,22,183,400.0,0
356,0,1,3.6,35,3,2,184,300.0,0
357,0,1,4.1,176,1,0,185,800.0,0
358,0,1,3.5,45,0,15,186,300.0,0
359,0,1,3.7,47,3,23,187,400.0,0
360,0,0,3.7,36,3,0,188,650.0,0
361,0,1,3.8,52,4,24,147,400.0,49
362,0,1,2.7,123,0,2,63,200.0,0
363,0,1,3.6,59,4,0,5,700.0,0
364,0,1,3.2,4,4,2,76,300.0,0
365,0,1,3.8,101,0,2,47,400.0,0
366,0,1,3.7,54,0,25,189,400.0,0
368,0,1,3.6,22,1,2,63,200.0,0
369,0,1,3.1,31,0,26,190,250.0,0
370,0,1,3.0,29,4,4,171,500.0,0
371,0,1,3.4,6,3,15,191,100.0,0
372,0,1,3.0,22,1,2,71,250.0,50
373,0,1,2.9,11,0,2,5,500.0,0
374,0,1,3.9,101,1,2,33,150.0,0
375,0,0,4.1,442,3,27,192,1200.0,0
376,0,1,3.5,155,1,2,47,400.0,0
377,0,1,3.4,12,0,24,193,150.0,0
378,0,1,3.6,15,1,2,33,100.0,0
379,0,1,3.5,10,1,2,33,200.0,0
380,0,1,3.8,25,0,2,33,300.0,0
381,0,1,3.8,61,0,2,38,300.0,0
382,0,1,3.7,23,7,2,194,300.0,0
383,0,1,3.8,25,1,2,195,350.0,0
384,0,1,3.7,40,4,2,196,200.0,51
385,0,1,3.3,4,1,2,197,100.0,0
386,0,1,3.4,8,1,2,74,150.0,0
387,0,1,3.5,32,4,2,38,300.0,0
388,0,1,3.3,10,1,2,33,200.0,52
389,0,1,3.4,6,1,2,144,300.0,0
390,0,1,3.8,53,3,2,198,250.0,0
391,0,1,3.7,67,4,0,5,700.0,0
392,0,1,2.9,23,3,16,199,250.0,53
393,0,1,3.4,19,0,2,3,200.0,0
394,0,1,3.6,24,0,2,200,300.0,0
395,0,1,4.0,232,3,2,96,400.0,0
396,0,1,3.9,221,3,0,53,700.0,0
397,0,0,4.1,1063,3,28,201,1200.0,0
398,0,1,3.7,93,1,2,104,200.0,0
399,0,1,3.9,233,3,0,202,800.0,0
400,0,1,3.9,211,3,0,203,500.0,0
401,0,1,4.0,1778,3,2,204,200.0,54
402,0,1,3.6,218,6,0,148,800.0,0
403,0,1,3.7,514,1,4,205,600.0,0
404,0,0,4.0,866,3,0,206,900.0,0
405,0,1,3.2,96,4,2,5,400.0,0
406,0,1,3.5,80,0,2,207,250.0,0
407,0,1,4.0,73,1,12,208,300.0,55
408,0,1,3.9,84,3,16,67,400.0,0
409,0,1,3.5,88,0,2,112,350.0,0
410,0,1,3.5,179,0,0,115,600.0,0
411,0,1,3.8,61,1,2,209,100.0,0
412,0,1,3.7,128,7,0,210,450.0,0
413,0,1,3.8,339,3,2,71,400.0,56
414,0,1,4.1,449,1,2,104,100.0,0
415,0,1,4.1,210,3,29,191,150.0,0
416,0,1,3.7,57,1,2,211,200.0,0
417,0,1,3.0,213,0,2,212,400.0,0
418,0,1,3.2,208,3,24,213,250.0,57
419,0,1,3.8,70,0,2,33,100.0,58
420,0,1,4.0,219,1,4,24,600.0,0
421,0,1,3.7,59,0,2,132,200.0,0
422,0,1,3.1,10,0,2,49,500.0,0
423,0,1,3.0,9,4,2,214,400.0,0
424,0,1,3.7,124,4,0,215,750.0,0
425,0,1,3.7,19,4,2,33,100.0,59
427,0,1,3.3,4,1,2,216,150.0,0
428,0,1,3.3,4,4,9,125,150.0,0
429,0,1,3.8,21,1,9,43,200.0,0
430,0,1,3.4,8,0,30,217,250.0,60
431,0,1,3.5,10,4,2,148,400.0,0
433,0,1,3.5,10,4,2,5,400.0,61
434,0,1,3.2,4,4,2,218,200.0,0
435,0,1,3.1,4,0,7,5,350.0,62
437,0,1,3.6,16,8,13,219,500.0,0
